,0,1,2,3
28,S167,E11A,-45003.94531,left
60,S215,E12F,-42537.11719,left
50,S205,E12F,-32682.27539,left
30,S169,E11A,-32574.99219,left
74,S229,E14F,-31535.08398,left
26,S165,E11A,-30469.8418,left
40,S179,E11A,-30445.33398,left
49,S204,E12F,-29710.5332,left
7,S146,E11A,-29545.46484,left
58,S213,E12F,-28639.58789,left
6,S145,E11A,-27869.92188,left
24,S163,E11A,-27128.38477,left
31,S170,E11A,-26258.89844,left
67,S222,E14F,-24831.41797,left
27,S166,E11A,-24745.37891,left
61,S216,E12F,-24367.16406,left
75,S230,E14F,-24015.38672,left
34,S173,E11A,-23760.21094,left
22,S161,E11A,-22968.42188,left
29,S168,E11A,-22610.49219,left
51,S206,E12F,-22461.2832,left
10,S149,E11A,-19601.67578,left
4,S143,E11A,-19179.91406,left
41,S180,E11A,-18483.97461,left
15,S154,E11A,-17000.95508,left
16,S155,E11A,-16193.04395,left
46,S185,E11A,-15553.09766,left
64,S219,E14F,-14869.14258,left
78,S233,E14F,-14397.05957,left
20,S159,E11A,-14320.61914,left
42,S181,E11A,-13696.51465,left
21,S160,E11A,-13423.2793,left
38,S177,E11A,-12169.88184,left
73,S228,E14F,-10946.93848,left
45,S184,E11A,-10029.10156,left
70,S225,E14F,-9229.072266,left
44,S183,E11A,-6511.63916,left
11,S150,E11A,-3604.318115,center
39,S178,E11A,-614.291626,right
13,S152,E11A,-429.9020691,right
14,S153,E11A,34.74339676,right
68,S223,E14F,227.0656891,right
0,S139,E11A,662.3284302,right
23,S162,E11A,944.1633911,right
37,S176,E11A,1957.966064,right
47,S186,E11A,2551.810303,right
43,S182,E11A,2978.912109,right
18,S157,E11A,3772.775391,right
17,S156,E11A,4199.693848,right
52,S207,E12F,5780.626465,right
3,S142,E11A,6263.944824,right
25,S164,E11A,6826.231934,right
72,S227,E14F,8456.140625,right
54,S209,E12F,8691.769531,right
32,S171,E11A,11189.02637,right
69,S224,E14F,11344.13867,right
53,S208,E12F,11675.14453,right
62,S217,E12F,14850.06738,right
33,S172,E11A,16941.54297,right
63,S218,E12F,19170.70117,right
48,S203,E12F,19338.40039,right
5,S144,E11A,21033.22266,right
2,S141,E11A,21746.24609,right
59,S214,E12F,24037.57031,right
35,S174,E11A,24205.15234,right
36,S175,E11A,26810.44336,right
19,S158,E11A,27846.28906,right
57,S212,E12F,28370.67773,right
9,S148,E11A,29462.35547,right
65,S220,E14F,30471.24023,right
77,S232,E14F,30615.33984,right
56,S211,E12F,30859.93164,right
8,S147,E11A,31554.62109,right
1,S140,E11A,32771.83203,right
76,S231,E14F*,42403.24609,right
12,S151,E11A,46800.63672,right
55,S210,E12F,50642.85938,right
71,S226,E14F*,53669.3125,right
66,S221,E14F*,58983.75391,right
79,S234,E14F*,64273.58984,right
